Nom réel,CODE INSEE TXT,Surface km carré,Long,Lat,population
Bouconville-Vauclair,02102,13.04,3.75556,49.4656,205
La Bouteille,02109,19,3.96667,49.8667,509
Ly-Fontaine,02446,3.47,3.3,49.7167,129
Logny-lès-Aubenton,02435,8.15,4.2,49.8333,77
Cuirieux,02248,6.46,3.81667,49.6833,164
Iron,02386,9.51,3.66667,49.95,245
Joncourt,02392,7.25,3.3,49.95,313
Effry,02275,2.77,4,49.9333,341
Jumigny,02396,2.49,3.71667,49.4167,63
Chaourse,02160,18.6,4,49.7,540
Saint-Rémy-Blanzy,02693,13.99,3.3,49.2333,209
Beaumont-en-Beine,02056,5.41,3.13333,49.7,170
Le Plessier-Huleu,02606,5.2,3.35,49.2333,79
Estrées,02291,7.04,3.28333,49.9667,423
Baulne-en-Brie,02053,18.89,3.61667,48.9833,575
Guivry,02362,7.15,3.11667,49.65,266
Variscourt,02761,5.56,3.98333,49.4167,192
Châtillon-sur-Oise,02170,2.62,3.4,49.7833,130
Soissons,02722,12.32,3.33333,49.3667,29315
Bray-Saint-Christophe,02117,2.88,3.15,49.7667,71
Le Hérie-la-Viéville,02379,9.27,3.63333,49.8167,353
Aubenton,02031,23.7,4.2,49.8333,674
Braye,02118,1.34,3.36667,49.4333,122
Brissay-Choigny,02123,8.98,3.36667,49.7167,298
Remaucourt,02637,6.35,3.33333,49.9,326
Seraucourt-le-Grand,02710,10.56,3.21667,49.7833,797
Berry-au-Bac,02073,8.1,3.9,49.4,618
Vivaise,02821,9.02,3.56667,49.6167,759
Proviseux-et-Plesnoy,02627,11.21,4,49.4667,122
Caumont,02145,5.71,3.18333,49.6167,585
Villers-le-Sec,02813,10.57,3.5,49.7833,306
Vichel-Nanteuil,02796,6.39,3.28333,49.1833,88
Romery,02654,3.96,3.73333,49.9,91
Fontaine-lès-Clercs,02320,5.33,3.21667,49.8,278
Chéry-lès-Pouilly,02180,17.22,3.6,49.65,705
Pithon,02604,2.44,3.1,49.75,75
Beaurieux,02058,9.69,3.73333,49.4,816
Sinceny,02719,13.13,3.25,49.6,2091
Bouffignereux,02104,4.36,3.85,49.3667,104
Saint-Gengoulph,02679,7.57,3.21667,49.1167,150
Pargny-les-Bois,02591,6.83,3.61667,49.7167,131
Montigny-l'Allier,02512,10.14,3.1,49.1167,284
Beuvardes,02083,15.66,3.48333,49.15,737
Cuissy-et-Geny,02252,4.97,3.7,49.4167,65
Reuilly-Sauvigny,02645,6.54,3.55,49.0667,230
Vailly-sur-Aisne,02758,9.97,3.51667,49.4167,2051
Bièvres,02088,2.64,3.71667,49.5,73
Berny-Rivière,02071,7.87,3.15,49.4167,658
Perles,02597,3.7,3.65,49.3167,0
Fontenelle-en-Brie,02325,8.47,3.48333,48.9167,0
